code_commune,nom_standard,population,latitude_centre,longitude_centre
77430,Saint-Pathus,6358,49.074,2.788
77431,Saint-Pierre-lès-Nemours,5416,48.265,2.666
77432,Saint-Rémy-de-la-Vanne,981,48.812,3.242
77433,Beautheil-Saints,2035,48.764,3.059
77434,Saint-Sauveur-lès-Bray,361,48.438,3.205
77435,Saint-Sauveur-sur-École,1103,48.5,2.534
77436,Saint-Siméon,908,48.805,3.194
77437,Saint-Soupplets,3585,49.037,2.802
77438,Saint-Thibault-des-Vignes,6266,48.864,2.676
77439,Salins,1171,48.432,3.019
77440,Sammeron,1143,48.942,3.077
77441,Samois-sur-Seine,2010,48.455,2.753
77442,Samoreau,2426,48.42,2.77
77443,Sancy,389,48.879,2.961
77444,Sancy-lès-Provins,331,48.71,3.393
77445,Savigny-le-Temple,30510,48.588,2.574
77446,Savins,593,48.512,3.205
77447,Seine-Port,1824,48.552,2.554
77448,Sept-Sorts,572,48.94,3.106
77449,Serris,9706,48.845,2.788
77450,Servon,3396,48.715,2.592
77451,Signy-Signets,602,48.917,3.064
77452,Sigy,67,48.473,3.164
77453,Sivry-Courtry,1122,48.531,2.756
77454,Sognolles-en-Montois,359,48.519,3.152
77455,Soignolles-en-Brie,2026,48.645,2.708
77456,Soisy-Bouy,832,48.508,3.3
77457,Solers,1231,48.659,2.727
77458,Souppes-sur-Loing,5114,48.187,2.748
77459,Sourdun,1517,48.537,3.363
77460,Tancrou,334,49.004,3.08
77461,Thénisy,301,48.492,3.178
77462,Thieux,902,49.009,2.663
77463,Thomery,3411,48.404,2.78
77464,Thorigny-sur-Marne,10405,48.892,2.712
77465,Thoury-Férottes,643,48.298,2.94
77466,Tigeaux,376,48.825,2.899
77467,La Tombe,199,48.387,3.094
77468,Torcy,22444,48.853,2.651
77469,Touquin,1221,48.733,3.029
77470,Tournan-en-Brie,8340,48.74,2.778
77471,Tousson,341,48.343,2.458
77472,La Trétoire,479,48.879,3.246
77473,Treuzy-Levelay,421,48.273,2.795
77474,Trilbardou,684,48.949,2.804
77475,Trilport,5081,48.959,2.966
77476,Trocy-en-Multien,228,49.042,2.962
77477,Ury,864,48.341,2.6
77478,Ussy-sur-Marne,1074,48.967,3.082
77479,Vaires-sur-Marne,13518,48.87,2.636
77480,Valence-en-Brie,1040,48.446,2.893
77481,Vanvillé,187,48.555,3.116
77482,Varennes-sur-Seine,3688,48.368,2.93
77483,Varreddes,2121,49.006,2.928
77484,Vaucourtois,286,48.899,2.957
77485,Le Vaudoué,732,48.347,2.522
77486,Vaudoy-en-Brie,887,48.698,3.082
